productId,partNumber,brand,name,description,specifications,descriptionQuality,detailedDescription
AGIL-0100-2637,0100-2637,Agilent,"Nut and ferrule, stainless steel, 1/8 inch, for sample loop for switching valve",,{},none,
AGIL-50676167,5067-6167,Agilent,InfinityLab Quick Connect Fitting assembly with pre-fixed 0.17 x 150 mm capillary,Quantity 5067-5965 InfinityLab Quick Connect LC fitting 1 5500-1182 Quick Connect capillary stainless steel 0.,"{""Brand"": ""InfinityLab"", ""Capillary Subtype"": ""Quick Connect Capillary"", ""Fitting Type"": ""Quick Connect"", ""Fitting Type Left End"": ""Quick Connect Fitting"", ""Fitting Type Right End"": ""SX (Swagelok, 1.6 mm ID, stainless steel, extra long screw)"", ""Inner Diameter (ID)"": ""0.17 mm"", ""Length"": ""150 mm"", ""Material"": ""Stainless Steel"", ""Swage Status Fitting Left End"": ""Pre-swaged"", ""Swage Status Fitting Right End"": ""Non-swaged"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115720"", ""5067-5965"": ""InfinityLab Quick Connect LC fitting"", ""5500-1182"": ""Quick Connect capillary stainless steel 0.17 x 150 mm""}",high,
AGIL-50676168,5067-6168,Agilent,InfinityLab Quick Connect Fitting assembly with pre-fixed 0.17 x 220 mm capillary,Quantity 5067-5965 InfinityLab Quick Connect LC fitting 1 5500-1183 Quick Connect capillary stainless steel 0.,"{""Brand"": ""InfinityLab"", ""Capillary Subtype"": ""Quick Connect Capillary"", ""Fitting Type"": ""Quick Connect"", ""Fitting Type Left End"": ""Quick Connect Fitting"", ""Fitting Type Right End"": ""SL (Swagelok, 1.6 mm ID, stainless steel, long screw)"", ""Inner Diameter (ID)"": ""0.17 mm"", ""Length"": ""220 mm"", ""Material"": ""Stainless Steel"", ""Swage Status Fitting Left End"": ""Pre-swaged"", ""Swage Status Fitting Right End"": ""Non-swaged"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115720"", ""5067-5965"": ""InfinityLab Quick Connect LC fitting"", ""5500-1183"": ""Quick Connect capillary stainless steel 0.17 x 220 mm""}",high,
AGIL-50676169,5067-6169,Agilent,InfinityLab Quick Connect Fitting assembly with pre-fixed 0.17 x 280 mm capillary,Quantity 5067-5965 InfinityLab Quick Connect LC fitting 1 5500-1230 Quick Connect capillary stainless steel 0.,"{""Brand"": ""InfinityLab"", ""Capillary Subtype"": ""Quick Connect Capillary"", ""Fitting Type"": ""Quick Connect"", ""Fitting Type Left End"": ""Quick Connect Fitting"", ""Fitting Type Right End"": ""SL (Swagelok, 1.6 mm ID, stainless steel, long screw)"", ""Inner Diameter (ID)"": ""0.17 mm"", ""Length"": ""280 mm"", ""Material"": ""Stainless Steel"", ""Swage Status Fitting Left End"": ""Pre-swaged"", ""Swage Status Fitting Right End"": ""Non-swaged"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115720"", ""5067-5965"": ""InfinityLab Quick Connect LC fitting"", ""5500-1230"": ""Quick Connect capillary stainless steel 0.17 x 280 mm""}",high,
AGIL-50676602,5067-6602,Agilent,InfinityLab Quick Connect Fitting assembly with pre-fixed 0.075 x 105 mm capillary and Quick Turn fitting,Quantity 5067-5965 InfinityLab Quick Connect LC fitting 1 5067-5966 InfinityLab Quick Turn HPLC Fitting 1 5500-1174 Quick Connect capillary stainless steel 0.,"{""Brand"": ""InfinityLab"", ""Capillary Subtype"": ""Quick Connect Capillary"", ""Fitting Type"": ""Quick Connect"", ""Fitting Type Left End"": ""Quick Connect Fitting"", ""Fitting Type Right End"": ""Special"", ""Inner Diameter (ID)"": ""0.075 mm"", ""Length"": ""105 mm"", ""Material"": ""Stainless Steel"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115716"", ""5067-5965"": ""InfinityLab Quick Connect LC fitting"", ""5067-5966"": ""InfinityLab Quick Turn HPLC Fitting"", ""5500-1174"": ""Quick Connect capillary stainless steel 0.075 x 105 mm""}",high,
AGIL-51804108,5180-4108,Agilent,"Ferrule, front 1/16 in, stainless steel, 10/pk","Material Stainless steel Product Sub Model Front UNSPSC Code 41115717 Customers Also Bought These Products Ferrule, back, 1/16 in, stainless steel, 10/pk 5180-4114 List Price:110.","{""Ferrule Type"": ""Stainless Steel"", ""Fitting Description"": ""Front ferrule, stainless steel, 1.6 mm"", ""Material"": ""Stainless steel"", ""Product Sub Model"": ""Front"", ""UNSPSC Code"": ""41115717""}",high,
AGIL-51804114,5180-4114,Agilent,"Ferrule, back, 1/16 in, stainless steel, 10/pk","Material Stainless steel Product Sub Model Back UNSPSC Code 41115717 Customers Also Bought These Products Ferrule, front 1/16 in, stainless steel, 10/pk 5180-4108 ADD TO CART Fitting, male, 1/16 in, stainless steel, 10/pk 5061-3303 ADD TO CART Stainless Steel Fittings for HPLC with Short Screw(s), 10/pack 5062-2418 ADD TO CART Capillary stainless steel 0.","{""Ferrule Type"": ""Stainless Steel"", ""Fitting Description"": ""Back ferrule, stainless steel, 1.6 mm"", ""Material"": ""Stainless steel"", ""Product Sub Model"": ""Back"", ""UNSPSC Code"": ""41115717""}",high,
AGIL-51804196,5180-4196,Agilent,HPLC Tubing 15m,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5180-4196 Tubing Part Number:5180-4196 Tubing, copper, 1/8 in x 1.","{""GC-ID (mm)"": ""2.1 mm"", ""Length (m)"": ""15 m"", ""Material"": ""Copper"", ""UNSPSC Code"": ""41115720""}",high,
AGIL-51811210,5181-1210,Agilent,11mm Crimp Cap with Septa,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1210 2 ml Crimp Top Vials & Caps Part Number:5181-1210 Cap, crimp, silver aluminum, 11 mm, PTFE/red rubber septa, 100/pk.","{""Cap Color"": ""Silver"", ""Cap Material"": ""Aluminum"", ""Cap Size"": ""11 mm"", ""Certified"": ""No"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Includes Septa"": ""Yes"", ""Pre-Slit Septa"": ""No"", ""Product Type"": ""Caps & septa"", ""Repeat Injections"": ""No"", ""Septa Layering"": ""Bi-Layer"", ""Septa Material"": ""PTFE/red rubber"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121800"", ""Vial Type"": ""Crimp""}",high,
AGIL-51811211,5181-1211,Agilent,11mm Crimp Cap with Septa,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1211 2 mL Crimp Top Vials & Caps Part Number:5181-1211 Cap, crimp, silver aluminum, certified, 11 mm, PTFE/silicone/PTFE septa, 100/pk.","{""Cap Color"": ""Silver"", ""Cap Material"": ""Aluminum"", ""Cap Size"": ""11 mm"", ""Certified"": ""Yes"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Includes Septa"": ""Yes"", ""Pre-Slit Septa"": ""No"", ""Product Type"": ""Caps & septa"", ""Repeat Injections"": ""Yes"", ""Septa Layering"": ""Tri-Layer"", ""Septa Material"": ""PTFE/silicone/PTFE"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121806"", ""Vial Type"": ""Crimp""}",high,
AGIL-51811212,5181-1212,Agilent,11mm Crimp Cap with Septa,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1212 2 ml Crimp Top Vials & Caps Part Number:5181-1212 Cap, crimp, silver aluminum, certified, 11 mm, black FPM septa, 100/pk.","{""Cap Color"": ""Silver"", ""Cap Material"": ""Aluminum"", ""Cap Size"": ""11 mm"", ""Certified"": ""Yes"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Includes Septa"": ""Yes"", ""Pre-Slit Septa"": ""No"", ""Product Type"": ""Caps & septa"", ""Septa Layering"": ""Single"", ""Septa Material"": ""Black FKM"", ""Technique"": ""GCGC & GC/MSLCLC & LC/MSSample Preparation"", ""UNSPSC Code"": ""41121800""}",high,
AGIL-51811215,5181-1215,Agilent,11mm Crimp Cap with Septa,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1215 2 mL Crimp Top Vials & Caps Part Number:5181-1215 Cap, crimp, blue aluminum, 11 mm, PTFE/red rubber septa, 100/pk.","{""Cap Color"": ""Blue"", ""Cap Material"": ""Aluminum"", ""Cap Size"": ""11 mm"", ""Certified"": ""No"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Includes Septa"": ""Yes"", ""Pre-Slit Septa"": ""No"", ""Product Type"": ""Caps & septa"", ""Repeat Injections"": ""No"", ""Septa Layering"": ""Bi-Layer"", ""Septa Material"": ""PTFE/red rubber"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121800"", ""Vial Type"": ""Crimp""}",high,
AGIL-51811216,5181-1216,Agilent,11mm Crimp Cap with Septa,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1216 2 ml Crimp Top Vials & Caps Part Number:5181-1216 Cap, crimp, green aluminum, 11 mm, PTFE/red rubber septa, 100/pk.","{""Cap Color"": ""Green"", ""Cap Material"": ""Aluminum"", ""Cap Size"": ""11 mm"", ""Certified"": ""No"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Includes Septa"": ""Yes"", ""Pre-Slit Septa"": ""No"", ""Product Type"": ""Caps & septa"", ""Repeat Injections"": ""No"", ""Septa Layering"": ""Bi-Layer"", ""Septa Material"": ""PTFE/red rubber"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121800"", ""Vial Type"": ""Crimp""}",high,
AGIL-51811217,5181-1217,Agilent,11mm Crimp Cap with Septa,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1217 2 ml Crimp Top Vials & Caps Part Number:5181-1217 Cap, crimp, red aluminum, 11 mm, PTFE/red rubber septa, 100/pk.","{""Cap Color"": ""Red"", ""Cap Material"": ""Aluminum"", ""Cap Size"": ""11 mm"", ""Certified"": ""No"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Includes Septa"": ""Yes"", ""Pre-Slit Septa"": ""No"", ""Product Type"": ""Caps & septa"", ""Repeat Injections"": ""No"", ""Septa Layering"": ""Bi-Layer"", ""Septa Material"": ""PTFE/red rubber"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121800"", ""Vial Type"": ""Crimp""}",high,
AGIL-51811267,5181-1267,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1267 GC Autosampler Syringes Part Number:5181-1267 Agilent ALS Syringe, 10 µL, fixed needle, 23-26s/42/cone.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""Stainless Steel"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51811267HF,5181-1267-HF,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1267-HF GC Autosampler Syringes Part Number:5181-1267-HF Agilent ALS Syringe, 10 µL, fixed needle, 23-26s/42/cone, high flow.","{""Brand"": ""Gold Standard"", ""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""Stainless Steel"", ""Technique"": ""GC & GC/MS"", ""Volume"": ""10 µL""}",high,
AGIL-51811273,5181-1273,Agilent,GC Autosampler Syringe 5 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-1273 Autosampler Syringes Part Number:5181-1273 Agilent ALS Syringe, 5 µL, fixed needle, 23-26s/42/cone.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""Stainless Steel"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""5 µL""}",high,
AGIL-51813321,5181-3321,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3321 Autosampler Syringes Part Number:5181-3321 Agilent ALS Syringe, 10 µL, removable needle, 23-26s/42/cone.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Removable"", ""Plunger Tip Material"": ""Stainless Steel"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51813354,5181-3354,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3354 GC Autosampler Syringes Part Number:5181-3354 Agilent ALS Syringe, 10 µL, fixed needle, 23-26s/42/cone, PTFE-tip plunger.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""PTFE"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51813354HF,5181-3354-HF,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3354-HF GC Autosampler Syringes Part Number:5181-3354-HF Agilent ALS Syringe, 10 µL, fixed needle, 23-26s/42/cone, PTFE-tip plunger, high flow.","{""Brand"": ""Gold Standard"", ""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""PTFE"", ""Technique"": ""GC & GC/MS"", ""Volume"": ""10 µL""}",high,
AGIL-51813356,5181-3356,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3356 Autosampler Syringes Part Number:5181-3356 ALS Syringe, 10 µL, removable needle, 23-26s/42/cone, PTFE-tip plunger.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Removable"", ""Plunger Tip Material"": ""PTFE"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51813358,5181-3358,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3358 GC Autosampler Syringes Part Number:5181-3358 ALS syringe plunger, for 10 µL removable needle syringe, PTFE-tip.","{""Compatibility"": ""Agilent"", ""Needle Type"": ""No Needle"", ""Plunger Tip Material"": ""PTFE"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51813360,5181-3360,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3360 Autosampler Syringes Part Number:5181-3360 ALS Syringe, 10 µL, fixed needle, 23-26s/42/cone, 6/pk.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""Stainless Steel"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51813361,5181-3361,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3361 Autosampler Syringes Part Number:5181-3361 ALS Syringe, 10 µL, fixed needle, 23-26s/42/cone, PTFE-tip plunger, 6/pk.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""PTFE"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51813376,5181-3376,Agilent,2mL Crimp Vial Amber Write-On,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3376 2 mL Crimp Top Vials & Caps Part Number:5181-3376 Vial, crimp top, amber, write-on spot, certified, 2 mL, 100/pk.","{""Cap Size"": ""11 mm"", ""Certified"": ""Yes"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Glass Tint"": ""Amber"", ""Height"": ""32 mm"", ""Product Type"": ""Vial"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121806"", ""Vial Dimensions"": ""32 mm x 12 mm"", ""Vial Type"": ""Crimp"", ""Volume"": ""2 mL"", ""Width"": ""12 mm"", ""Write-On"": ""Yes""}",high,
AGIL-51813400,5181-3400,Agilent,2mL Crimp Vial Clear No Write-On,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-3400 2 ml Crimp Top Vials & Caps Part Number:5181-3400 Vial convenience pack, crimp top, clear vials, silver caps, PTFE/red rubber septa, 500/pk.","{""Cap Size"": ""11 mm"", ""Glass Tint"": ""Clear"", ""Height"": ""32 mm"", ""Product Type"": ""Vial"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121800"", ""Vial Dimensions"": ""32 mm x 12 mm"", ""Vial Type"": ""Crimp"", ""Volume"": ""2 mL"", ""Width"": ""12 mm"", ""Write-On"": ""No""}",high,
AGIL-51818801,5181-8801,Agilent,2mL Crimp Vial Amber No Write-On,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-8801 2 mL Crimp Top Vials & Caps Part Number:5181-8801 Vial convenience pack, crimp top, amber vials, silver caps, PTFE/red rubber septa, 500/pk.","{""Cap Size"": ""11 mm"", ""Glass Tint"": ""Amber"", ""Height"": ""32 mm"", ""Product Type"": ""Vial"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121800"", ""Vial Dimensions"": ""32 mm x 12 mm"", ""Vial Type"": ""Crimp"", ""Volume"": ""2 mL"", ""Width"": ""12 mm"", ""Write-On"": ""No""}",high,
AGIL-51818806,5181-8806,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-8806 GC Autosampler Syringes Part Number:5181-8806 ALS Syringe, 10 µL removable needle, 23/42/cone.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Removable"", ""Plunger Tip Material"": ""Stainless Steel"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51818809,5181-8809,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-8809 Autosampler Syringes Part Number:5181-8809 ALS Syringe, 10 µL, fixed needle, 23/42/cone, PTFE-tip plunger.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""PTFE"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51818810,5181-8810,Agilent,GC Autosampler Syringe 5 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-8810 GC Autosampler Syringes Part Number:5181-8810 ALS Syringe, 5 µL, fixed needle, 23-26s/42/cone, 6/pk.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23-26s"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Fixed"", ""Plunger Tip Material"": ""Stainless Steel"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""5 µL""}",high,
AGIL-51818813,5181-8813,Agilent,GC Autosampler Syringe 10 µL,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5181-8813 Autosampler Syringes Part Number:5181-8813 ALS Syringe, 10 µL, removable needle, 23/42/cone, PTFE-tip plunger.","{""Compatibility"": ""Agilent"", ""Needle Gauge"": ""23"", ""Needle Length"": ""42 mm"", ""Needle Point Style"": ""Cone"", ""Needle Type"": ""Removable"", ""Plunger Tip Material"": ""PTFE"", ""Technique"": ""GC"", ""UNSPSC Code"": ""41115714"", ""Volume"": ""10 µL""}",high,
AGIL-51820552,5182-0552,Agilent,11mm Crimp Cap with Septa,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5182-0552 2 ml Crimp Top Vials & Caps Part Number:5182-0552 Cap, crimp, silver aluminum, 11 mm, certified, PTFE/silicone septa, 100/pk.","{""Cap Color"": ""Silver"", ""Cap Material"": ""Aluminum"", ""Cap Size"": ""11 mm"", ""Certified"": ""Yes"", ""Compatibility"": ""AgilentPerkin ElmerShimadzuThermoVarian/Bruker"", ""Includes Septa"": ""Yes"", ""Pre-Slit Septa"": ""No"", ""Product Type"": ""Caps & septa"", ""Repeat Injections"": ""No"", ""Septa Layering"": ""Bi-Layer"", ""Septa Material"": ""PTFE/silicone"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121800"", ""Vial Type"": ""Crimp""}",high,
AGIL-51820556,5182-0556,Agilent,2 mL Screw Top Vial - Amber Write-On,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5182-0556 2 ml Screw Top Vials & Caps Part Number:5182-0556 Vial pack, screw top, pre-assembled, certified, amber vials, green caps, PTFE/silicone/PTFE septa, 2 mL, 100/pk.","{""Cap Size"": ""12 mm"", ""Certified"": ""Yes"", ""Glass Tint"": ""Amber"", ""Height"": ""32 mm"", ""Product Type"": ""Vial"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121806"", ""Vial Dimensions"": ""32 mm x 12 mm"", ""Vial Type"": ""Screw"", ""Volume"": ""2 mL"", ""Width"": ""12 mm"", ""Write-On"": ""Yes""}",high,
AGIL-51820557,5182-0557,Agilent,2 mL Screw Top Vial - Clear,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 5182-0557 2 mL Screw Top Vials & Caps Part Number:5182-0557 Vial pack, screw top, pre-assembled, certified, clear vials, blue caps, PTFE/silicone septa, 2 mL, 100/pk.","{""Cap Size"": ""12 mm"", ""Certified"": ""Yes"", ""Glass Tint"": ""Clear"", ""Height"": ""32 mm"", ""Product Type"": ""Vial"", ""Technique"": ""GCLC"", ""UNSPSC Code"": ""41121806"", ""Vial Dimensions"": ""32 mm x 12 mm"", ""Vial Type"": ""Screw"", ""Volume"": ""2 mL"", ""Width"": ""12 mm"", ""Write-On"": ""No""}",high,
